number,czech,selected_files,source,species_or_taxon,rejected_reason,confidence
55,Merlík,images/055-merlik/01.png | images/055-merlik/02.png | images/055-merlik/03.png,Poznávačka.pptx slide 51,Chenopodium | Chenopodium | Chenopodium,image253.png; image250.png; image238.png,high
56,Vřes,images/056-vres/01.png | images/056-vres/02.png | images/056-vres/03.png,Poznávačka.pptx slide 52,Calluna | Calluna | Calluna,image266.png; image259.png,high
57,Brusnice,images/057-brusnice/01.png | images/057-brusnice/02.png | images/057-brusnice/03.png,Poznávačka.pptx slide 53,Vaccinium | Vaccinium | Vaccinium,image271.png; image248.png,high
58,Prvosenka,images/058-prvosenka/01.png | images/058-prvosenka/02.png | images/058-prvosenka/03.png,Poznávačka.pptx slide 54,Primula | Primula | Primula,image265.png; image254.png; image273.png,high
60,Brčál,images/060-brcal/01.png | images/060-brcal/02.png | images/060-brcal/03.png,Poznávačka.pptx slide 55,Vinca | Vinca | Vinca,image264.png; image277.png; image258.png,high
61,Kopytník,images/061-kopytnik/01.png | images/061-kopytnik/02.png | images/061-kopytnik/03.png,Poznávačka.pptx slide 56,Asarum | Asarum | Asarum,image279.png; image281.png,high
62,Opletník,images/062-opletnik/01.jpg | images/062-opletnik/02.jpg | images/062-opletnik/03.jpg,Poznávačka.pptx slide 57,Calystegia | Calystegia | Calystegia,image276.jpg; image278.jpg,high
63,Kostival,images/063-kostival/01.jpg | images/063-kostival/02.jpg | images/063-kostival/03.jpg,Poznávačka.pptx slide 58,Symphytum | Symphytum | Symphytum,image283.jpg; image296.jpg,high
64,Plicník,images/064-plicnik/01.jpg | images/064-plicnik/02.jpg | images/064-plicnik/03.jpg,Poznávačka.pptx slide 59,Pulmonaria | Pulmonaria | Pulmonaria,image288.png; image291.png; image286.png,high
65,Pomněnka,images/065-pomnenka/01.png | images/065-pomnenka/02.png | images/065-pomnenka/03.png,Poznávačka.pptx slide 60,Myosotis | Myosotis | Myosotis,image292.png; image309.png,high
66,Hadinec,images/066-hadinec/01.png | images/066-hadinec/02.png | images/066-hadinec/03.png,Poznávačka.pptx slide 61,Echium | Echium | Echium,image298.png; image315.png; image321.png,high
67,Hluchavka,images/067-hluchavka/01.png | images/067-hluchavka/02.png | images/067-hluchavka/03.png,Poznávačka.pptx slide 62,Lamium | Lamium | Lamium,image305.png; image306.png,high
68,Mateřídouška,images/068-materidouska/01.png | images/068-materidouska/02.png | images/068-materidouska/03.png,Poznávačka.pptx slide 63,Thymus | Thymus | Thymus,image320.png; image308.png,high
69,Šalvěj,images/069-salvej/01.png | images/069-salvej/02.png | images/069-salvej/03.png,Poznávačka.pptx slide 64,Salvia | Salvia | Salvia,image311.png; image319.png,high
70,Lilek,images/070-lilek/01.png | images/070-lilek/02.png | images/070-lilek/03.png,Poznávačka.pptx slide 65,Solanum | Solanum | Solanum,image348.png; image326.png,high
71,Rulík,images/071-rulik/01.png | images/071-rulik/02.png | images/071-rulik/03.png,Poznávačka.pptx slide 66,Atropa | Atropa | Atropa,image330.png; image322.png,high
73,Divizna,images/073-divizna/01.png | images/073-divizna/02.png | images/073-divizna/03.png,Poznávačka.pptx slide 67,Verbascum | Verbascum | Verbascum,image331.png; image335.png,high
74,Rozrazil,images/074-rozrazil/01.png | images/074-rozrazil/02.png | images/074-rozrazil/03.png,Poznávačka.pptx slide 68,Veronica | Veronica | Veronica,image342.png; image338.png,high
75,Lnice,images/075-lnice/01.png | images/075-lnice/02.png | images/075-lnice/03.png,Poznávačka.pptx slide 69,Linaria | Linaria | Linaria,image362.png; image340.png,high
76,Náprstník,images/076-naprstnik/01.png | images/076-naprstnik/02.png | images/076-naprstnik/03.png,Poznávačka.pptx slide 70,Digitalis | Digitalis | Digitalis,image359.png; image353.png,high
77,Jitrocel,images/077-jitrocel/01.png | images/077-jitrocel/02.png | images/077-jitrocel/03.png,Poznávačka.pptx slide 71,Plantago | Plantago | Plantago,image352.png; image355.png,high
78,Svízel,images/078-svizel/01.png | images/078-svizel/02.png | images/078-svizel/03.png,Poznávačka.pptx slide 72,Galium | Galium | Galium,image356.png; image358.png,high
79,Bez,images/079-bez/01.png | images/079-bez/02.png | images/079-bez/03.png,Poznávačka.pptx slide 73,Sambucus | Sambucus | Sambucus,image354.png; image361.png,high
81,Zvonek,images/081-zvonek/01.jpg | images/081-zvonek/02.jpg | images/081-zvonek/03.jpg,Wikimedia Commons curated species search,Campanula rotundifolia / Campanula patula / Campanula persicifolia | Campanula rotundifolia / Campanula patula / Campanula persicifolia | Campanula rotundifolia / Campanula patula / Campanula persicifolia,,high
82,Čekanka,images/082-cekanka/01.jpg | images/082-cekanka/02.jpg | images/082-cekanka/03.jpg,Wikimedia Commons curated species search,Cichorium intybus | Cichorium intybus | Cichorium intybus,,high
83,Kapustka,images/083-kapustka/01.jpg | images/083-kapustka/02.jpg | images/083-kapustka/03.jpg,Wikimedia Commons curated species search,Lapsana communis | Lapsana communis | Lapsana communis,,high
