number,czech,selected_files,source,species_or_taxon,rejected_reason,confidence
102,Bledule,images/102-bledule/01.jpg | images/102-bledule/02.jpg | images/102-bledule/03.jpg,Wikimedia Commons curated species search,Leucojum vernum | Leucojum vernum | Leucojum vernum,,high
103,Kosatec,images/103-kosatec/01.jpg | images/103-kosatec/02.jpg | images/103-kosatec/03.jpg,Wikimedia Commons curated species search,Iris pseudacorus | Iris pseudacorus | Iris pseudacorus,,high
104,Prstnatec,images/104-prstnatec/01.jpg | images/104-prstnatec/02.jpg | images/104-prstnatec/03.jpg,Wikimedia Commons curated species search,Dactylorhiza majalis / Dactylorhiza fuchsii | Dactylorhiza majalis / Dactylorhiza fuchsii | Dactylorhiza majalis / Dactylorhiza fuchsii,,high
105,Sítina,images/105-sitina/01.jpg | images/105-sitina/02.jpg | images/105-sitina/03.jpg,Wikimedia Commons curated species search,Juncus effusus | Juncus effusus | Juncus effusus,,high
106,Ostřice,images/106-ostrice/01.jpg | images/106-ostrice/02.jpg | images/106-ostrice/03.jpg,Wikimedia Commons curated species search,Carex hirta / Carex pendula / Carex riparia | Carex hirta / Carex pendula / Carex riparia | Carex hirta / Carex pendula / Carex riparia,File:Carex hirta - Oslo botanical garden - IMG 8902.jpg (blocked title term),high
108,Psárka,images/108-psarka/01.jpg | images/108-psarka/02.jpg | images/108-psarka/03.jpg,Wikimedia Commons curated species search,Alopecurus pratensis | Alopecurus pratensis | Alopecurus pratensis,,high
110,Lipnice,images/110-lipnice/01.jpg | images/110-lipnice/02.jpg | images/110-lipnice/03.jpg,Wikimedia Commons curated species search,Poa pratensis / Poa annua | Poa pratensis / Poa annua | Poa pratensis / Poa annua,,high
112,Okřehek,images/112-okrehek/01.jpg | images/112-okrehek/02.jpg | images/112-okrehek/03.jpg,Wikimedia Commons curated species search,Lemna minor | Lemna minor | Lemna minor,File:Eendekroos dicht bijeen.JPG (title lacks curated species),high
113,Orobinec,images/113-orobinec/01.jpg | images/113-orobinec/02.jpg | images/113-orobinec/03.jpg,Wikimedia Commons curated species search,Typha latifolia / Typha angustifolia | Typha latifolia / Typha angustifolia | Typha latifolia / Typha angustifolia,File:Dolomedes fimbriatus (juvenile) - Kulna.jpg (title lacks curated species),high
114,Rákos,images/114-rakos/01.jpg | images/114-rakos/02.jpg | images/114-rakos/03.jpg,Wikimedia Commons curated species search,Phragmites australis | Phragmites australis | Phragmites australis,"File:Dülmen, Hausdülmen, Heubach -- 2019 -- 3260.jpg (title lacks curated species)",high
115,Javor,images/115-javor/01.jpg | images/115-javor/02.jpg | images/115-javor/03.jpg,Wikimedia Commons curated species search,Acer platanoides / Acer pseudoplatanus / Acer campestre | Acer platanoides / Acer pseudoplatanus / Acer campestre | Acer platanoides / Acer pseudoplatanus / Acer campestre,,high
116,Lípa,images/116-lipa/01.jpg | images/116-lipa/02.jpg | images/116-lipa/03.jpg,Wikimedia Commons curated species search,Tilia cordata / Tilia platyphyllos | Tilia cordata / Tilia platyphyllos | Tilia cordata / Tilia platyphyllos,File:2020 year. Herbarium. Tilia cordata. img-019.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-020.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-008.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-004.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-012.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-013.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-007.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-003.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-011.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-006.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-014.jpg (blocked title term); File:2020 year. Herbarium. Tilia cordata. img-005.jpg (blocked title term),high
117,Buk,images/117-buk/01.jpg | images/117-buk/02.jpg | images/117-buk/03.jpg,Wikimedia Commons curated species search,Fagus sylvatica | Fagus sylvatica | Fagus sylvatica,,high
118,Habr,images/118-habr/01.jpg | images/118-habr/02.jpg | images/118-habr/03.jpg,Wikimedia Commons curated species search,Carpinus betulus | Carpinus betulus | Carpinus betulus,,high
119,Bříza,images/119-briza/01.jpg | images/119-briza/02.jpg | images/119-briza/03.jpg,Wikimedia Commons curated species search,Betula pendula | Betula pendula | Betula pendula,"File:Intertwined roots of two birches next to Myrstigen hiking trail in Brastad.jpg (title lacks curated species); File:Ilsfeld - Schozach - Schozacher Höhe - Birke vor Sonnenuntergangs-Himmel (1).jpg (title lacks curated species); File:Delleboersterheide, natuurgebied van het It Fryske Gea. 25-12-2019. (actm.) 23.jpg (title lacks curated species); File:Birch trunks in snow and sunshine - 2.jpg (title lacks curated species); File:Solitaire berk (Betula) in een prachtig landschap. Locatie, natuurgebied Delleboersterheide – Catspoele 03.jpg (title lacks curated species)",high
120,Líska,images/120-liska/01.jpg | images/120-liska/02.jpg | images/120-liska/03.jpg,Wikimedia Commons curated species search,Corylus avellana | Corylus avellana | Corylus avellana,,high
121,Dub,images/121-dub/01.jpg | images/121-dub/02.jpg | images/121-dub/03.jpg,Wikimedia Commons curated species search,Quercus robur / Quercus petraea | Quercus robur / Quercus petraea | Quercus robur / Quercus petraea,File:Langaa egeskov rimfrost.jpg (title lacks curated species),high
